    1        0.0513       0.9876       2.3476
    2       -0.0222       0.6183       2.3470
    3       -0.2305       0.9507       2.3496
    4       -0.1765       0.4181       2.3495
    5       -0.2737       0.5128       2.3510
    6       -0.2991       0.4337       2.3511
    7       -0.3763       0.1541       2.3496
    8       -1.1618       0.1958       2.3531
    9       -0.4026       0.0019       2.3508
   10       -1.2206      -0.0419       2.3565
   11       -0.5264      -0.2127       2.3544
   12       -0.5235      -0.4198       2.3552
   13        0.3220      -0.9277       2.3540
   14        0.6008      -0.9739       2.3521
   15        0.3213       1.2886       2.3432
   16       -0.9715       4.2495       0.7635
   17       -3.4059       3.3650       0.3562
   18       -3.8184       1.1759       0.3291
   19       -4.1189      -0.4063       0.1183
   20       -4.2235      -0.9628      -0.5307
   21       -4.2685      -1.1947      -0.5251
   22       -2.3417      -3.6389       0.2850
   23        3.6679      -2.3085      -0.4011
   24       -0.7040       0.9796      -1.6531
   25       -1.5451       2.1173      -1.6530
   26       -0.8420       0.9374      -1.6509
   27       -0.8299       0.3121      -1.6516
   28       -1.7329       0.5598      -1.6459
   29       -1.6625      -0.0380      -1.6474
   30       -1.8649      -0.3794      -1.6453
   31       -2.2723      -1.1345      -1.6384
   32       -0.8525      -0.5766      -1.6492
   33       -0.6869      -0.4732      -1.6490
   34       -0.8735      -0.6827      -1.6459
   35        0.2224      -0.8679      -1.6491
   36        0.4537      -1.5987      -1.6459
   37        1.0852      -1.2435      -1.6492
   38        1.1271      -1.1360      -1.6520
   39        0.8544      -0.7449      -1.6498
   40        2.2676      -1.6594      -1.6511
   41        0.6572       0.3966      -1.6561
   42        1.1193       0.7293      -1.6589
   43        1.5269       1.0824      -1.6585
